ts,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,binary_label,capture_name
1537525954.504121,300.450301,146,775,11,5,BENIGN,honeypot_5
1537527044.032855,300.040156,3690,4865,20,18,BENIGN,honeypot_5
1526004284.00972,-,-,-,1,0,MALICIOUS,malware_1
1540485135.637638,0.104447,34,297,1,1,BENIGN,honeypot_4
1537527344.087921,32.037565,4789,4865,19,17,BENIGN,honeypot_5
1537523861.365403,0.010620,40,56,1,1,BENIGN,honeypot_5
1537539909.166787,60.675979,3000,0,10,0,BENIGN,honeypot_5
1537523552.058663,8.802702,2506,5330,15,14,BENIGN,honeypot_5
1537523554.526469,0.011901,37,77,1,1,BENIGN,honeypot_5
1525936997.012536,2.999058,0,0,3,0,MALICIOUS,malware_1
1540540924.791363,0.068209,37,179,1,1,BENIGN,honeypot_4
1537540715.467496,0.033715,560,560,10,10,BENIGN,honeypot_5
1526216557.028189,-,-,-,1,0,MALICIOUS,malware_1
1526114052.016045,2.998795,0,0,3,0,MALICIOUS,malware_1
1537533806.507076,0.025885,560,560,10,10,BENIGN,honeypot_5
1537539225.023119,0.234827,157,371,4,4,BENIGN,honeypot_5
1537530500.376473,31.559329,3733,4865,17,17,BENIGN,honeypot_5
1537534417.336899,0.239451,135,238,4,4,BENIGN,honeypot_5
1540472524.848149,0.003998,37,442,1,1,BENIGN,honeypot_4
1526117931.011667,-,-,-,1,0,MALICIOUS,malware_1
1536228258.806793,2e-06,0,0,2,0,MALICIOUS,malware_17
1532103424.562516,-,-,-,1,0,MALICIOUS,malware_7
1526215668.019533,-,-,-,1,0,MALICIOUS,malware_1
1532104641.942851,-,-,-,1,0,MALICIOUS,malware_7
1526874280.514165,2.996487,0,0,3,0,MALICIOUS,malware_3
1536227778.526217,1e-06,0,0,2,0,MALICIOUS,malware_17
1536228368.042205,5e-06,0,0,2,0,MALICIOUS,malware_17
1525932868.999567,-,-,-,1,0,MALICIOUS,malware_1
1537535007.249719,0.014704,560,560,10,10,BENIGN,honeypot_5
1526095241.009733,-,-,-,1,0,MALICIOUS,malware_1
1537542559.137535,13.620959,1137,0,5,0,BENIGN,honeypot_5
1537529934.872022,149.162362,2868,4972,13,11,BENIGN,honeypot_5
1537527757.467672,0.012385,43,111,1,1,BENIGN,honeypot_5
1537530204.555578,0.014180,43,111,1,1,BENIGN,honeypot_5
1537534912.068624,7.001292,804,0,4,0,BENIGN,honeypot_5
1537539654.155814,58.607918,3000,0,10,0,BENIGN,honeypot_5
1537527344.074317,0.011198,46,62,1,1,BENIGN,honeypot_5
1537542212.944422,58.433315,3000,0,10,0,BENIGN,honeypot_5
1526234272.013518,2.999298,0,0,3,0,MALICIOUS,malware_1
1537527757.829669,-,-,-,1,0,BENIGN,honeypot_5
1540517691.682822,0.269841,48,48,1,1,BENIGN,honeypot_4
1537530815.208779,0.011012,40,56,1,1,BENIGN,honeypot_5
1537528658.616323,0.018164,560,560,10,10,BENIGN,honeypot_5
1532106012.058327,-,-,-,1,0,MALICIOUS,malware_7
1536228123.201419,5e-06,0,0,2,0,MALICIOUS,malware_17
1537530805.209927,-,-,-,1,0,BENIGN,honeypot_5
1526143466.020319,-,-,-,1,0,MALICIOUS,malware_1
1537534014.245253,7.008045,804,0,4,0,BENIGN,honeypot_5
1537523549.992842,9.028916,1090,6429,14,13,BENIGN,honeypot_5
1537528658.642888,0.234259,0,0,4,2,BENIGN,honeypot_5
1537528358.256305,0.244991,0,0,4,2,BENIGN,honeypot_5
1540499537.484682,0.003496,0,0,5,3,BENIGN,honeypot_4
1540472502.078251,50.868027,3768,0,12,0,BENIGN,honeypot_4
1525927051.009327,-,-,-,1,0,MALICIOUS,malware_1
1537523550.122889,0.013156,33,49,1,1,BENIGN,honeypot_5
1537541702.022032,59.711646,3000,0,10,0,BENIGN,honeypot_5
1540504924.794704,0.207130,37,179,1,1,BENIGN,honeypot_4
1536228065.271485,2e-06,0,0,2,0,MALICIOUS,malware_17
1540545547.36128,0.165407,2553,182,8,5,BENIGN,honeypot_4
1540486924.943965,0.000500,37,132,1,1,BENIGN,honeypot_4
1540522009.597792,0.270092,48,48,1,1,BENIGN,honeypot_4
1540496407.247167,0.269345,48,48,1,1,BENIGN,honeypot_4
1532101428.935301,-,-,-,1,0,MALICIOUS,malware_7
1537528058.231616,-,-,-,1,0,BENIGN,honeypot_5
1536228591.665142,2e-06,0,0,2,0,MALICIOUS,malware_17
1537530505.149632,-,-,-,1,0,BENIGN,honeypot_5
1536228403.435026,2e-06,0,0,2,0,MALICIOUS,malware_17
1532105569.165323,-,-,-,1,0,MALICIOUS,malware_7
1532106921.741652,-,-,-,1,0,MALICIOUS,malware_7
1537527456.857666,0.240529,0,0,4,2,BENIGN,honeypot_5
1532102550.432509,-,-,-,1,0,MALICIOUS,malware_7
1536227744.168347,2e-06,0,0,2,0,MALICIOUS,malware_17
1537537118.801456,0.010375,40,56,1,1,BENIGN,honeypot_5
1537523560.199015,72.433771,1418,5131,11,10,BENIGN,honeypot_5
1537542572.34664,1.229638,1575,0,8,0,BENIGN,honeypot_5
1537536976.483376,59.045048,3000,0,10,0,BENIGN,honeypot_5
1532102526.558113,-,-,-,1,0,MALICIOUS,malware_7
1540478897.777652,0.016983,48,48,1,1,BENIGN,honeypot_4
1536228099.81852,2e-06,0,0,2,0,MALICIOUS,malware_17
1540522040.070662,0.051964,34,297,1,1,BENIGN,honeypot_4
1537537724.232189,0.227500,135,238,4,4,BENIGN,honeypot_5
1525966159.018841,-,-,-,1,0,MALICIOUS,malware_1
1532107161.960613,-,-,-,1,0,MALICIOUS,malware_7
1537528069.501838,-,-,-,1,0,BENIGN,honeypot_5
1536227486.458188,1e-06,0,0,2,0,MALICIOUS,malware_17
1537538378.889255,57.279445,3000,0,10,0,BENIGN,honeypot_5
1540515739.484238,0.011492,0,0,4,2,BENIGN,honeypot_4
1537529349.882969,-,-,-,1,0,BENIGN,honeypot_5
1532103296.749377,-,-,-,1,0,MALICIOUS,malware_7
1532107186.905681,-,-,-,1,0,MALICIOUS,malware_7
1537531499.800968,0.021520,58,95,1,1,BENIGN,honeypot_5
1536227395.462753,5e-06,0,0,2,0,MALICIOUS,malware_17
1537541000.483468,0.011966,46,62,1,1,BENIGN,honeypot_5
1532103089.871057,-,-,-,1,0,MALICIOUS,malware_7
1540491670.122798,0.114192,48,48,1,1,BENIGN,honeypot_4
1532102491.202513,-,-,-,1,0,MALICIOUS,malware_7
1526062348.008459,-,-,-,1,0,MALICIOUS,malware_1
1536228102.196163,2e-06,0,0,2,0,MALICIOUS,malware_17
1540526524.852343,0.004750,37,442,1,1,BENIGN,honeypot_4
1532103870.540772,-,-,-,1,0,MALICIOUS,malware_7
1540512139.147043,0.048223,34,297,1,1,BENIGN,honeypot_4
1537540115.276517,300.121241,292,775,8,6,BENIGN,honeypot_5
1537529954.449652,0.097178,523,170,5,5,BENIGN,honeypot_5
1536228569.479555,2e-06,0,0,2,0,MALICIOUS,malware_17
1540497737.379759,0.003497,0,0,5,3,BENIGN,honeypot_4
1526255061.024827,-,-,-,1,0,MALICIOUS,malware_1
1537530804.867561,0.012560,47,111,1,1,BENIGN,honeypot_5
1526847035.583588,2.997894,0,0,3,0,MALICIOUS,malware_3
1526045083.009687,2.998811,0,0,3,0,MALICIOUS,malware_1
1537542311.390064,4.014302,225,0,3,0,BENIGN,honeypot_5
1537524121.553249,7.006697,804,0,4,0,BENIGN,honeypot_5
1537535200.389215,0.110444,53,0,2,1,BENIGN,honeypot_5
1532103243.684875,-,-,-,1,0,MALICIOUS,malware_7
1537527166.878203,0.011690,40,56,1,1,BENIGN,honeypot_5
1536227175.285442,2e-06,0,0,2,0,MALICIOUS,malware_17
1540489636.146094,0.201136,34,297,1,1,BENIGN,honeypot_4
1525932360.020036,-,-,-,1,0,MALICIOUS,malware_1
1532102361.298536,-,-,-,1,0,MALICIOUS,malware_7
1532104577.451857,-,-,-,1,0,MALICIOUS,malware_7
1526235639.052913,-,-,-,1,0,MALICIOUS,malware_1
1540533737.740422,0.016981,48,48,1,1,BENIGN,honeypot_4
1537539815.049308,0.012391,43,111,1,1,BENIGN,honeypot_5
1525888916.025163,-,-,-,1,0,MALICIOUS,malware_1
1526018211.011456,-,-,-,1,0,MALICIOUS,malware_1
1536227514.858692,2e-06,0,0,2,0,MALICIOUS,malware_17
1526260325.055688,-,-,-,1,0,MALICIOUS,malware_1
1532105924.731855,-,-,-,1,0,MALICIOUS,malware_7
1540476124.798177,0.180398,37,179,1,1,BENIGN,honeypot_4
1532104598.270245,-,-,-,1,0,MALICIOUS,malware_7
1526045012.038319,-,-,-,1,0,MALICIOUS,malware_1
1537530059.690878,-,-,-,1,0,BENIGN,honeypot_5
1526171805.012443,-,-,-,1,0,MALICIOUS,malware_1
1536227170.837982,6e-06,0,0,2,0,MALICIOUS,malware_17
1536227051.635194,2e-06,0,0,2,0,MALICIOUS,malware_17
1537534293.448135,58.777580,3000,0,10,0,BENIGN,honeypot_5
1532105907.05993,-,-,-,1,0,MALICIOUS,malware_7
1532104786.418507,-,-,-,1,0,MALICIOUS,malware_7
1537542502.816021,-,-,-,1,0,BENIGN,honeypot_5
1526215143.020292,2.999056,0,0,3,0,MALICIOUS,malware_1
1540498637.383261,0.042223,34,311,1,1,BENIGN,honeypot_4
1536228557.154821,5e-06,0,0,2,0,MALICIOUS,malware_17
1537523028.266738,58.101145,3000,0,10,0,BENIGN,honeypot_5
1537529954.754871,120.115379,191,189440,139,138,BENIGN,honeypot_5
1540490524.793988,0.104681,37,179,1,1,BENIGN,honeypot_4
1540526524.952286,0.000501,37,100,1,1,BENIGN,honeypot_4
1537523796.969349,59.349602,3000,0,10,0,BENIGN,honeypot_5
1526196742.053116,-,-,-,1,0,MALICIOUS,malware_1
1532106675.362269,-,-,-,1,0,MALICIOUS,malware_7
1532104119.002633,-,-,-,1,0,MALICIOUS,malware_7
1537524043.918133,0.176464,31,0,2,1,BENIGN,honeypot_5
1532102378.967221,-,-,-,1,0,MALICIOUS,malware_7
1526193950.055407,-,-,-,1,0,MALICIOUS,malware_1
1526153515.040883,-,-,-,1,0,MALICIOUS,malware_1
1532103122.083445,-,-,-,1,0,MALICIOUS,malware_7
1537526260.565308,-,-,-,1,0,BENIGN,honeypot_5
1537529560.829392,0.005166,36,68,1,1,BENIGN,honeypot_5
1540490536.350648,0.107187,34,297,1,1,BENIGN,honeypot_4
1525903989.022883,-,-,-,1,0,MALICIOUS,malware_1
1537533206.59825,0.005728,36,68,1,1,BENIGN,honeypot_5
1537536218.277463,0.009732,40,56,1,1,BENIGN,honeypot_5
1532102932.893785,-,-,-,1,0,MALICIOUS,malware_7
1537532005.930006,-,-,-,1,0,BENIGN,honeypot_5
1526222109.023971,2.998792,0,0,3,0,MALICIOUS,malware_1
1537536467.026937,58.020596,3000,0,10,0,BENIGN,honeypot_5
1537536237.457279,20.411436,525,0,7,0,BENIGN,honeypot_5
1537529938.386451,36.587444,1104,5870,14,14,BENIGN,honeypot_5
1536227047.600512,2e-06,0,0,2,0,MALICIOUS,malware_17
1540541842.053713,0.055962,34,311,1,1,BENIGN,honeypot_4
1537535007.639854,0.179226,48,48,1,1,BENIGN,honeypot_5
1536227558.343572,1.4e-05,0,0,2,0,MALICIOUS,malware_17
1536227547.962507,2e-06,0,0,2,0,MALICIOUS,malware_17
1532107376.145268,-,-,-,1,0,MALICIOUS,malware_7
1537534717.426842,0.011419,40,56,1,1,BENIGN,honeypot_5
1532107511.36906,-,-,-,1,0,MALICIOUS,malware_7
1532105057.781088,-,-,-,1,0,MALICIOUS,malware_7
1532106605.721509,-,-,-,1,0,MALICIOUS,malware_7
1536228066.773379,2e-06,0,0,2,0,MALICIOUS,malware_17
1537535617.957692,0.000631,40,56,1,1,BENIGN,honeypot_5
1537533806.650872,300.176227,292,775,8,6,BENIGN,honeypot_5
1532101429.976957,-,-,-,1,0,MALICIOUS,malware_7
1525912994.010575,-,-,-,1,0,MALICIOUS,malware_1
1537528982.561583,-,-,-,1,0,BENIGN,honeypot_5
1537532316.311462,0.012469,40,56,1,1,BENIGN,honeypot_5
1540526540.455457,0.058712,34,281,1,1,BENIGN,honeypot_4
1536227836.515344,2e-06,0,0,2,0,MALICIOUS,malware_17
1536227646.270049,2e-06,0,0,2,0,MALICIOUS,malware_17
1540520239.884582,0.126168,34,297,1,1,BENIGN,honeypot_4
1532107392.836519,-,-,-,1,0,MALICIOUS,malware_7
1537525365.304452,-,-,-,1,0,BENIGN,honeypot_5
1536228118.340443,6e-06,0,0,2,0,MALICIOUS,malware_17
1536228485.34704,2e-06,0,0,2,0,MALICIOUS,malware_17
1536228294.341015,2e-06,0,0,2,0,MALICIOUS,malware_17
1526175359.021948,-,-,-,1,0,MALICIOUS,malware_1
1540514839.31464,0.048468,34,311,1,1,BENIGN,honeypot_4
1536228078.928692,2e-06,0,0,2,0,MALICIOUS,malware_17
1540476124.979321,0.003752,37,442,1,1,BENIGN,honeypot_4
1536227178.993315,1e-06,0,0,2,0,MALICIOUS,malware_17
1536228500.513382,5e-06,0,0,2,0,MALICIOUS,malware_17
1526166661.016219,-,-,-,1,0,MALICIOUS,malware_1
1525906393.01272,2.998537,0,0,3,0,MALICIOUS,malware_1
1537539225.009485,0.011653,40,56,1,1,BENIGN,honeypot_5
1536228360.084006,2e-06,0,0,2,0,MALICIOUS,malware_17
1537533216.661437,0.259778,135,238,4,4,BENIGN,honeypot_5
1526107105.995347,-,-,-,1,0,MALICIOUS,malware_1
1537529244.152732,0.010992,46,62,1,1,BENIGN,honeypot_5
1532102458.994867,-,-,-,1,0,MALICIOUS,malware_7
1537526945.883623,-,-,-,1,0,BENIGN,honeypot_5
1537539525.314559,0.237846,135,238,4,4,BENIGN,honeypot_5
1526154269.019527,-,-,-,1,0,MALICIOUS,malware_1
1537524452.304549,-,-,-,1,0,BENIGN,honeypot_5
1537527527.483488,-,-,-,1,0,BENIGN,honeypot_5
1540479724.835267,0.004250,37,442,1,1,BENIGN,honeypot_4
1526096531.040997,-,-,-,1,0,MALICIOUS,malware_1
1537542503.4303,13.107329,3011,0,11,0,BENIGN,honeypot_5
1526765304.488281,0.000438,180,0,3,0,MALICIOUS,malware_3
1537528959.240236,0.241418,0,0,4,2,BENIGN,honeypot_5
1532107498.865179,-,-,-,1,0,MALICIOUS,malware_7
1532105874.840296,-,-,-,1,0,MALICIOUS,malware_7
1536227999.028799,2e-06,0,0,2,0,MALICIOUS,malware_17
1540542681.003131,0.114429,48,48,1,1,BENIGN,honeypot_4
1537525918.48922,7.005609,804,0,4,0,BENIGN,honeypot_5
1540525640.373213,0.074453,34,297,1,1,BENIGN,honeypot_4
1540525640.448162,0.011492,0,0,5,3,BENIGN,honeypot_4
1536227999.772121,2e-06,0,0,2,0,MALICIOUS,malware_17
1540487336.184154,0.016972,48,48,1,1,BENIGN,honeypot_4
1526091501.009241,2.998788,0,0,3,0,MALICIOUS,malware_1
1526845647.522715,-,-,-,1,0,MALICIOUS,malware_3
1526211830.053421,-,-,-,1,0,MALICIOUS,malware_1
1537523553.909819,183.995564,19447,8767,41,30,BENIGN,honeypot_5
1532103205.247536,-,-,-,1,0,MALICIOUS,malware_7
1526859443.458761,-,-,-,1,0,MALICIOUS,malware_3
1525895630.041531,-,-,-,1,0,MALICIOUS,malware_1
1526021137.003529,-,-,-,1,0,MALICIOUS,malware_1
1537541400.492599,0.013025,46,62,1,1,BENIGN,honeypot_5
1526163760.015643,-,-,-,1,0,MALICIOUS,malware_1
1540472531.535825,0.046210,34,297,1,1,BENIGN,honeypot_4
1540503137.857636,0.191390,34,297,1,1,BENIGN,honeypot_4
1537540415.31051,0.022269,560,560,10,10,BENIGN,honeypot_5
1537527757.075334,0.011492,560,560,10,10,BENIGN,honeypot_5
1540477474.197539,0.269861,48,48,1,1,BENIGN,honeypot_4
1525946826.012541,2.998552,0,0,3,0,MALICIOUS,malware_1
1537524151.247629,0.253883,0,0,4,2,BENIGN,honeypot_5
1532107155.704177,-,-,-,1,0,MALICIOUS,malware_7
1537525653.563958,0.239277,0,0,4,2,BENIGN,honeypot_5
1532105685.59369,-,-,-,1,0,MALICIOUS,malware_7
1537523549.364515,0.023151,48,48,1,1,BENIGN,honeypot_5
1540501325.004914,0.093195,1847,1539,7,7,BENIGN,honeypot_4
1526006930.018628,-,-,-,1,0,MALICIOUS,malware_1
1536227793.019922,5e-06,0,0,2,0,MALICIOUS,malware_17
1532103388.189003,-,-,-,1,0,MALICIOUS,malware_7
1540533724.936213,0.107438,1847,791,6,6,BENIGN,honeypot_4
1540519339.819843,0.057713,34,297,1,1,BENIGN,honeypot_4
1540495731.916034,0.017487,48,48,1,1,BENIGN,honeypot_4
1536227869.901018,2e-06,0,0,2,0,MALICIOUS,malware_17
1526759951.8892,-,-,-,1,0,MALICIOUS,malware_3
1537530504.826725,300.082176,292,775,9,7,BENIGN,honeypot_5
1532105947.578331,-,-,-,1,0,MALICIOUS,malware_7
1537525999.4044,-,-,-,1,0,BENIGN,honeypot_5
1526270120.021974,-,-,-,1,0,MALICIOUS,malware_1
1537535696.731038,-,-,-,1,0,BENIGN,honeypot_5
1532105334.256246,-,-,-,1,0,MALICIOUS,malware_7
1536227350.815566,5e-06,0,0,2,0,MALICIOUS,malware_17
1537524462.314863,0.013023,40,56,1,1,BENIGN,honeypot_5
1540501324.794306,0.205372,37,179,1,1,BENIGN,honeypot_4
1537535698.831392,59.690766,3000,0,10,0,BENIGN,honeypot_5
1532103469.25004,-,-,-,1,0,MALICIOUS,malware_7
1540472531.58253,0.003499,0,0,4,3,BENIGN,honeypot_4
1526246290.05477,-,-,-,1,0,MALICIOUS,malware_1
1536227325.539561,2e-06,0,0,2,0,MALICIOUS,malware_17
1536227941.362722,2e-06,0,0,2,0,MALICIOUS,malware_17
1536227829.089069,5e-06,0,0,2,0,MALICIOUS,malware_17
1532107813.850118,-,-,-,1,0,MALICIOUS,malware_7
1526239941.019756,-,-,-,1,0,MALICIOUS,malware_1
1532103627.292445,-,-,-,1,0,MALICIOUS,malware_7
1532105169.025928,-,-,-,1,0,MALICIOUS,malware_7
1537524274.316767,8.929202,1094,5864,15,15,BENIGN,honeypot_5
1536227765.406197,5e-06,0,0,2,0,MALICIOUS,malware_17
1526817732.743,2.997607,0,0,3,0,MALICIOUS,malware_3
1537542477.934059,-,-,-,1,0,BENIGN,honeypot_5
1532105604.507172,-,-,-,1,0,MALICIOUS,malware_7
1532103886.13913,-,-,-,1,0,MALICIOUS,malware_7
1526149193.021652,-,-,-,1,0,MALICIOUS,malware_1
1537541366.347056,-,-,-,1,0,BENIGN,honeypot_5
1537536518.493126,0.400503,135,238,4,4,BENIGN,honeypot_5
1532107209.790909,-,-,-,1,0,MALICIOUS,malware_7
1540540924.868566,0.089446,1847,1539,7,7,BENIGN,honeypot_4
1540479735.208374,0.046721,34,297,1,1,BENIGN,honeypot_4
1532101911.359494,-,-,-,1,0,MALICIOUS,malware_7
1540521156.170093,0.111429,48,48,1,1,BENIGN,honeypot_4
1532102754.113928,-,-,-,1,0,MALICIOUS,malware_7
1540469198.477548,78840.329305,25624,22995,3291,2667,BENIGN,honeypot_4
1537537340.006309,-,-,-,1,0,BENIGN,honeypot_5
1532106204.391188,-,-,-,1,0,MALICIOUS,malware_7
1537532616.186837,0.015384,40,56,1,1,BENIGN,honeypot_5
1537540424.419601,59.700847,3000,0,10,0,BENIGN,honeypot_5
1537538014.061206,0.028798,0,0,4,2,BENIGN,honeypot_5
1537534400.521198,0.012582,46,62,1,1,BENIGN,honeypot_5
1537529244.183015,63.445547,3669,4865,18,17,BENIGN,honeypot_5
1536228120.370292,2e-06,0,0,2,0,MALICIOUS,malware_17
1532107668.338959,-,-,-,1,0,MALICIOUS,malware_7
1526140803.834383,-,-,-,1,0,MALICIOUS,malware_1
1537529955.624206,244.752221,213789,5663,185,99,BENIGN,honeypot_5
1537534106.75651,0.010039,47,111,1,1,BENIGN,honeypot_5
1532107787.870415,-,-,-,1,0,MALICIOUS,malware_7
1540540941.994056,0.052210,34,297,1,1,BENIGN,honeypot_4
1532107171.313044,-,-,-,1,0,MALICIOUS,malware_7
1537531705.477107,300.137898,292,775,8,6,BENIGN,honeypot_5
1536227238.559897,1e-06,0,0,2,0,MALICIOUS,malware_17
1540513561.830757,0.272081,48,48,1,1,BENIGN,honeypot_4
1537528622.398163,7.007161,804,0,4,0,BENIGN,honeypot_5
1537538914.532504,0.012874,43,111,1,1,BENIGN,honeypot_5
1532101417.5378,-,-,-,1,0,MALICIOUS,malware_7
1532101694.18132,-,-,-,1,0,MALICIOUS,malware_7
1532102327.024315,-,-,-,1,0,MALICIOUS,malware_7
1537528448.281154,-,-,-,1,0,BENIGN,honeypot_5
1525935601.002104,-,-,-,1,0,MALICIOUS,malware_1
1540510339.081178,0.011510,0,0,4,2,BENIGN,honeypot_4
1537523154.94827,59.007533,3000,0,10,0,BENIGN,honeypot_5
1536227283.064885,2e-06,0,0,2,0,MALICIOUS,malware_17
1537532916.379081,0.236911,135,238,4,4,BENIGN,honeypot_5
1537526555.518289,300.473354,146,775,11,6,BENIGN,honeypot_5
1537540715.881413,-,-,-,1,0,BENIGN,honeypot_5
1536227562.32853,6e-06,0,0,2,0,MALICIOUS,malware_17
1537524688.198472,-,-,-,1,0,BENIGN,honeypot_5
1537528969.765951,0.234174,157,371,4,4,BENIGN,honeypot_5
1540497724.968073,0.114934,1847,791,6,6,BENIGN,honeypot_4
1540545547.511195,0.000500,41,41,1,1,BENIGN,honeypot_4
1540504925.097524,0.000501,37,132,1,1,BENIGN,honeypot_4
1540494124.793403,0.123928,37,179,1,1,BENIGN,honeypot_4
1536227656.456975,3e-06,0,0,2,0,MALICIOUS,malware_17
1526050006.042006,-,-,-,1,0,MALICIOUS,malware_1
1537538700.384042,0.766860,1371,6195,14,12,BENIGN,honeypot_5
1537523411.814564,61.018114,3000,0,10,0,BENIGN,honeypot_5
1537540415.69649,0.010379,36,68,1,1,BENIGN,honeypot_5
1537527156.876879,-,-,-,1,0,BENIGN,honeypot_5
1540483335.594244,0.003497,0,0,4,2,BENIGN,honeypot_4
1537535200.405144,8.676177,3733,4865,18,16,BENIGN,honeypot_5
1537531995.081277,57.247571,3000,0,10,0,BENIGN,honeypot_5
1540510338.879057,0.201640,34,297,1,1,BENIGN,honeypot_4
1526012287.021454,-,-,-,1,0,MALICIOUS,malware_1
1537535696.730897,-,-,-,1,0,BENIGN,honeypot_5
1537530505.127085,-,-,-,1,0,BENIGN,honeypot_5
1536228224.533852,2e-06,0,0,2,0,MALICIOUS,malware_17
1526106177.006888,-,-,-,1,0,MALICIOUS,malware_1
1537539214.638901,0.013229,47,111,1,1,BENIGN,honeypot_5
1526191064.050363,-,-,-,1,0,MALICIOUS,malware_1
1537536207.952022,0.025762,0,0,4,2,BENIGN,honeypot_5
1540475231.829978,0.119679,34,297,1,1,BENIGN,honeypot_4
1540474155.445242,1032.879228,37680,0,120,0,BENIGN,honeypot_4
1537536207.993398,300.180598,292,775,8,6,BENIGN,honeypot_5
1540529486.842023,0.016985,48,48,1,1,BENIGN,honeypot_4
1537524752.729403,0.190785,48,48,1,1,BENIGN,honeypot_5
1537531312.181465,7.009980,804,0,4,0,BENIGN,honeypot_5
1540515724.788672,0.054699,37,179,1,1,BENIGN,honeypot_4
1537525954.765339,0.010439,36,68,1,1,BENIGN,honeypot_5
1537533000.627118,0.135293,241,92,2,1,BENIGN,honeypot_5
1532102510.956256,-,-,-,1,0,MALICIOUS,malware_7
1537529956.12934,28.149607,185,464,6,4,BENIGN,honeypot_5
1537542560.265407,8.498024,2930,0,14,0,BENIGN,honeypot_5
1540476757.919723,0.114433,48,48,1,1,BENIGN,honeypot_4
1536227737.296522,2e-06,0,0,2,0,MALICIOUS,malware_17
1536228334.797184,2e-06,0,0,2,0,MALICIOUS,malware_17
1540542742.170738,0.011493,0,0,4,2,BENIGN,honeypot_4
1537531600.399745,8.694724,3925,4865,18,16,BENIGN,honeypot_5
1537530200.376431,0.017453,46,62,1,1,BENIGN,honeypot_5
1536227387.040581,2e-06,0,0,2,0,MALICIOUS,malware_17
1526166563.006831,2.998804,0,0,3,0,MALICIOUS,malware_1
1537537612.993245,59.239379,3000,0,10,0,BENIGN,honeypot_5
1526858669.258781,-,-,-,1,0,MALICIOUS,malware_3
1525942695.007251,2.998789,0,0,3,0,MALICIOUS,malware_1
1537529565.273263,59.346187,3000,0,10,0,BENIGN,honeypot_5
1540523840.194421,0.056699,34,297,1,1,BENIGN,honeypot_4
